Disease,Medicine,Medicine_Type,Dosage_Notes,Disclaimer
Pelvic Inflammatory Disease,Hospitalization (for severe cases),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Pelvic Inflammatory Disease,Partner treatment,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Pelvic Inflammatory Disease,Abstain from intercourse during treatment,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Peripheral Nerve Disorder,Gabapentin,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Peripheral Nerve Disorder,Pregabalin,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Peripheral Nerve Disorder,Amitriptyline,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Peripheral Nerve Disorder,Physical therapy,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Peripheral Nerve Disorder,Alpha-lipoic acid (as supplement),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Personality Disorder,"Psychotherapy (e.g., DBT for BPD)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Personality Disorder,SSRIs (for mood symptoms),Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Personality Disorder,"Mood stabilizers (e.g., Lithium)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Personality Disorder,Antipsychotics (in some cases),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Personality Disorder,Group therapy,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Pneumonia,"Antibiotics (e.g., Azithromycin, Ceftriaxone)",Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Pneumonia,"Antivirals (e.g., Oseltamivir if viral)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Pneumonia,Expectorants,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Pneumonia,"Fever reducers (e.g., Acetaminophen)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Pneumonia,Oxygen therapy if needed,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Problem During Pregnancy,Prenatal vitamins,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Problem During Pregnancy,Iron supplements,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Problem During Pregnancy,"Antihypertensives (e.g., Labetalol)",Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Problem During Pregnancy,Insulin (for gestational diabetes),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Problem During Pregnancy,Folic acid,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Psoriasis,Topical corticosteroids,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Psoriasis,"Vitamin D analogs (e.g., Calcipotriol)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Psoriasis,Methotrexate,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Psoriasis,"Biologics (e.g., Adalimumab)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Psoriasis,Phototherapy (UVB),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Pyogenic Skin Infection,"Oral antibiotics (e.g., Cephalexin, Clindamycin)",Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Pyogenic Skin Infection,"Topical antibiotics (e.g., Mupirocin)",Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Pyogenic Skin Infection,Incision and drainage,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Pyogenic Skin Infection,Antiseptic cleansing,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Pyogenic Skin Infection,Pain management,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Rectal Disorder,Hydrocortisone suppositories,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Rectal Disorder,"Laxatives (e.g., Lactulose)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Rectal Disorder,Fiber supplements,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Rectal Disorder,Sitz baths,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Rectal Disorder,"Surgical intervention (e.g., hemorrhoidectomy if needed)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Schizophrenia,"Antipsychotics (e.g., Risperidone, Olanzapine)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Schizophrenia,Clozapine (treatment-resistant cases),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Schizophrenia,Cognitive behavioral therapy,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Schizophrenia,Long-acting injectables,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Schizophrenia,Psychosocial support,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Seasonal Allergies (hay Fever),"Oral antihistamines (e.g., Cetirizine)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Seasonal Allergies (hay Fever),"Intranasal corticosteroids (e.g., Fluticasone)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Seasonal Allergies (hay Fever),"Leukotriene receptor antagonists (e.g., Montelukast)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Seasonal Allergies (hay Fever),Nasal saline rinses,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Seasonal Allergies (hay Fever),Allergy immunotherapy,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Sebaceous Cyst,Warm compress,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Sebaceous Cyst,Incision and drainage (if infected),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Sebaceous Cyst,Antibiotics (if signs of infection),Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Sebaceous Cyst,Surgical excision,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Sebaceous Cyst,Steroid injection (if inflamed),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Sepsis,"IV broad-spectrum antibiotics (e.g., Piperacillin-tazobactam)",Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Sepsis,IV fluids,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Sepsis,"Vasopressors (e.g., Norepinephrine)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Sepsis,Oxygen therapy,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Sepsis,"Source control (e.g., drainage of abscess)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Sickle Cell Crisis,Hydroxyurea,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Sickle Cell Crisis,Folic acid,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Sickle Cell Crisis,"Pain management (e.g., Morphine)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Sickle Cell Crisis,IV fluids,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Sickle Cell Crisis,Blood transfusions (if needed),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Sinus Bradycardia,Atropine (acute cases),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Sinus Bradycardia,Temporary or permanent pacemaker (if symptomatic),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Sinus Bradycardia,Adjust medications (if drug-induced),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Sinus Bradycardia,Isoproterenol infusion (if needed),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Sinus Bradycardia,Monitor ECG,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Skin Pigmentation Disorder,Hydroquinone cream,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Skin Pigmentation Disorder,Topical retinoids,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Skin Pigmentation Disorder,Azelaic acid,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Skin Pigmentation Disorder,Chemical peels,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Skin Pigmentation Disorder,Laser therapy (for resistant cases),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Skin Polyp,Cryotherapy,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Skin Polyp,Electrosurgical removal,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Skin Polyp,Snare excision,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Skin Polyp,Topical anesthesia,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Skin Polyp,Histopathology (to rule out malignancy),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Spinal Stenosis,NSAIDs,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Spinal Stenosis,Physical therapy,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Spinal Stenosis,Epidural steroid injections,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Spinal Stenosis,Gabapentin or Pregabalin,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Spinal Stenosis,"Surgical decompression (e.g., laminectomy)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Spondylosis,"NSAIDs (e.g., Naproxen)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Spondylosis,Muscle relaxants,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Spondylosis,Physical therapy,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Spondylosis,Epidural steroid injections,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Spondylosis,Surgery in severe cases,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Spontaneous Abortion,Misoprostol (to complete expulsion),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Spontaneous Abortion,Mifepristone + Misoprostol (in selected cases),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Spontaneous Abortion,Dilation and curettage (if needed),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Spontaneous Abortion,Rh immunoglobulin (if Rh-negative),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Spontaneous Abortion,Emotional support and counseling,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Sprain Or Strain,"RICE (Rest, Ice, Compression, Elevation)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Sprain Or Strain,"NSAIDs (e.g., Ibuprofen)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Sprain Or Strain,Muscle relaxants,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Sprain Or Strain,Physical therapy,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Sprain Or Strain,Immobilization (if needed),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Strep Throat,Penicillin,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Strep Throat,Amoxicillin,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Strep Throat,Azithromycin (if allergic to penicillin),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Strep Throat,"Analgesics (e.g., Acetaminophen)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Strep Throat,Salt water gargles,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Stye,Warm compresses,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Stye,"Topical antibiotic ointment (e.g., Erythromycin)",Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Stye,Oral antibiotics (if spreading),Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Stye,Pain relievers,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Stye,Incision and drainage (if abscess forms),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Temporary Or Benign Blood In Urine,Hydration therapy,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Temporary Or Benign Blood In Urine,Avoid strenuous exercise,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Temporary Or Benign Blood In Urine,Adjust anticoagulants (if relevant),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Temporary Or Benign Blood In Urine,Monitor kidney function,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Temporary Or Benign Blood In Urine,Reassurance and follow-up,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Threatened Pregnancy,Progesterone supplements,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Threatened Pregnancy,Folic acid,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Threatened Pregnancy,Bed rest (limited use),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Threatened Pregnancy,IV fluids (if dehydrated),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Threatened Pregnancy,Close monitoring with ultrasound,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Urinary Tract Infection,Nitrofurantoin,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Urinary Tract Infection,Ciprofloxacin,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Urinary Tract Infection,Trimethoprim-sulfamethoxazole,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Urinary Tract Infection,Cranberry supplements,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Urinary Tract Infection,Hydration therapy,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Vaginal Cyst,Warm compress,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Vaginal Cyst,Sitz bath,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Vaginal Cyst,Antibiotics (if infected),Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Vaginal Cyst,Surgical drainage (if large or recurrent),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Vaginal Cyst,Analgesics for pain,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Vaginitis,Metronidazole,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Vaginitis,Clindamycin,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Vaginitis,Fluconazole,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Vaginitis,Hydrocortisone cream,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Vaginitis,Probiotic supplements,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Vulvodynia,Topical Lidocaine,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Vulvodynia,"Tricyclic antidepressants (e.g., Amitriptyline)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Vulvodynia,Gabapentin,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Vulvodynia,Physical therapy,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Vulvodynia,Cognitive behavioral therapy,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Anemia,Ferrous Sulfate (Oral Iron Supplement),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Anemia,Folic Acid Supplement,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Anemia,Vitamin B12 (Cyanocobalamin),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Anemia,Erythropoietin Stimulating Agents (ESA),Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Anemia,Blood Transfusion therapy,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
COVID-19,Paxlovid (Nirmatrelvir / Ritonavir),Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
COVID-19,Remdesivir,Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
COVID-19,Molnupiravir,Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
COVID-19,Dexamethasone (for severe hypoxia),Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
COVID-19,"Antipyretics (e.g., Paracetamol)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
COVID-19,Supplemental Oxygen Therapy,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Chronic Kidney Disease,Lisinopril (ACE Inhibitor),Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Chronic Kidney Disease,Losartan (Angiotensin Receptor Blocker),Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Chronic Kidney Disease,Dapagliflozin (SGLT2 Inhibitor),Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Chronic Kidney Disease,Calcium Acetate (Phosphate Binder),Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Chronic Kidney Disease,Erythropoiesis-Stimulating Agents,Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Chronic Kidney Disease,Furosemide (Loop Diuretic),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Dementia,Donepezil (Cholinesterase Inhibitor),Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Dementia,Rivastigmine,Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Dementia,Galantamine,Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Dementia,Memantine (NMDA Receptor Antagonist),Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Dementia,Cognitive Behavioral Therapy Support,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Diabetes,Metformin (Biguanide),Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Diabetes,Empagliflozin (SGLT2 Inhibitor),Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Diabetes,Sitagliptin (DPP-4 Inhibitor),Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Diabetes,Glimepiride (Sulfonylurea),Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Diabetes,Insulin Glargine (Long-acting Insulin),Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Diabetes,Insulin Lispro (Rapid-acting Insulin),Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Epilepsy,Levetiracetam,Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Epilepsy,Sodium Valproate / Valproic Acid,Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Epilepsy,Carbamazepine,Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Epilepsy,Lamotrigine,Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Epilepsy,Phenytoin,Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Epilepsy,Lorazepam (for status epilepticus),Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Food Poisoning,Oral Rehydration Salts (ORS),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Food Poisoning,IV Fluid Electrolyte Replacement,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Food Poisoning,"Probiotics (e.g., Lactobacillus)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Food Poisoning,Ondansetron (Anti-emetic),Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Food Poisoning,Ciprofloxacin (if bacterial),Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Gastritis,Omeprazole (Proton Pump Inhibitor),Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Gastritis,Famotidine (H2 Receptor Blocker),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Gastritis,Antacids (Magnesium / Aluminum Hydroxide),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Gastritis,Sucralfate (Mucosal Protective Agent),Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Gastritis,Amoxicillin + Clarithromycin (for H. pylori),Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
